       nombre_completo       |    run     |    sucursal     |  tipo_socio   | cuotas_atrasadas | monto_adeudado 
 Ignacio Barrera Alvarez     | 11689866-7 | Santa Cruz      | socio_titular |                6 |         210000
 Alvaro Duarte Espinoza      | 14936708-K | Santa Cruz      | socio_titular |                2 |          55000
 Beatriz Henriquez Duarte    | 19879651-4 | Santa Cruz      | socio_titular |                2 |          55000
 Beatriz Iturra Iturra       | 6698610-1  | Santa Cruz      | socio_titular |                2 |          55000
 Enrique Mendez Fuentes      | 9996844-3  | Santa Cruz      | socio_titular |                2 |          55000
 Mauricio Duarte Duarte      | 23382051-2 | Santa Cruz      | socio_titular |                2 |          55000
 Mauricio Lagos Pardo        | 14868324-7 | Santa Cruz      | socio_titular |                2 |          55000
 Patricia Nuñez Duarte       | 23271233-3 | Santa Cruz      | socio_titular |                2 |          55000
 Beatriz Jara Ortiz          | 22924363-2 | Santiago Centro | socio_titular |                8 |         265000
 Daniela Quezada Contreras   | 9897596-9  | Santiago Centro | socio_titular |                8 |         265000
 Enrique Quezada Mendez      | 21265551-1 | Santiago Centro | socio_titular |                8 |         265000
 Felicia Henriquez Nuñez     | 16701421-6 | Santiago Centro | socio_titular |                8 |         265000
 Helena Lagos Nuñez          | 18512802-4 | Santiago Centro | socio_titular |                8 |         265000
 Kevin Iturra Nuñez          | 18257455-4 | Santiago Centro | socio_titular |                8 |         265000
 Patricia Quezada Iturra     | 12620839-1 | Santiago Centro | socio_titular |                8 |         265000
 Claudio Quezada Ortiz       | 11606281-K | Santiago Centro | socio_titular |                7 |         240000
 Mauricio Barrera Duarte     | 24887596-8 | Santiago Centro | socio_titular |                7 |         240000
 Beatriz Iturra Alvarez      | 10140560-5 | Santiago Centro | socio_titular |                6 |         210000
 Enrique Duarte Nuñez        | 19305751-9 | Santiago Centro | socio_titular |                6 |         210000
 Helena Jara Barrera         | 9151881-3  | Santiago Centro | socio_titular |                6 |         210000
 Javiera Barrera Mendez      | 6115597-K  | Santiago Centro | socio_titular |                6 |         210000
 Natalia Espinoza Ortiz      | 24301503-0 | Santiago Centro | socio_titular |                6 |         210000
 Patricia Jara Mendez        | 19172678-2 | Santiago Centro | socio_titular |                6 |         210000
 Ignacio Iturra Alvarez      | 17615166-8 | Santiago Centro | socio_titular |                3 |         105000
 Claudio Fuentes Nuñez       | 24790376-3 | Santiago Centro | socio_titular |                2 |          55000
 Gonzalo Galdames Jara       | 9774947-7  | Santiago Centro | socio_titular |                2 |          55000
 Ignacio Fuentes Espinoza    | 12794848-8 | Santiago Centro | socio_titular |                2 |          55000
 Mauricio Espinoza Alvarez   | 7854704-9  | Santiago Centro | socio_titular |                2 |          55000
 Natalia Quezada Nuñez       | 5214098-6  | Santiago Centro | socio_titular |                2 |          55000
 Oscar Espinoza Ortiz        | 17545284-2 | Santiago Centro | socio_titular |                2 |          55000
(92 rows)

